ACCELEROMETER X (m/s²) ,ACCELEROMETER Y (m/s²) ,ACCELEROMETER Z (m/s²) ,GRAVITY X (m/s²) ,GRAVITY Y (m/s²) ,GRAVITY Z (m/s²) ,LINEAR ACCELERATION X (m/s²) ,LINEAR ACCELERATION Y (m/s²) ,LINEAR ACCELERATION Z (m/s²) ,GYROSCOPE X (rad/s) ,GYROSCOPE Y (rad/s) ,GYROSCOPE Z (rad/s) ,Activity
-0.6272                ,5.3252                 ,9.9619                 ,-0.127           ,5.0795           ,8.3877           ,-0.8323                      ,-0.4405                      ,0.826                        ,0.4175              ,-0.4192             ,0.1245              ,       0
-0.317                 ,6.9006                 ,9.0583                 ,0.5223           ,5.4348           ,8.1462           ,0.4863                       ,0.5944                       ,0.926                        ,0.8127              ,-0.3819             ,-0.0522             ,       0
-0.0479                ,6.216                  ,8.048                  ,0.1816           ,5.3688           ,8.2045           ,-0.4309                      ,-0.6244                      ,-2.2714                      ,0.122               ,-0.2175             ,0.2398              ,       0
-0.9467                ,6.4828                 ,7.337                  ,0.0139           ,5.0285           ,8.4193           ,0.2226                       ,-0.2124                      ,-2.7509                      ,-0.0628             ,-0.3221             ,-0.3002             ,       0
0.5435                 ,4.0337                 ,3.0706                 ,1.1501           ,5.9029           ,7.7462           ,-1.3631                      ,-2.7521                      ,-0.79                        ,1.0285              ,-0.6848             ,0.8112              ,       0
-0.9646                ,3.3476                 ,6.4762                 ,-0.6282          ,3.7289           ,9.0483           ,1.5731                       ,0.4835                       ,-3.5993                      ,-1.1011             ,0.543               ,-0.4021             ,       0
-0.9646                ,3.3476                 ,6.4762                 ,-0.6282          ,3.7289           ,9.0483           ,1.5731                       ,0.4835                       ,-3.5993                      ,-1.1011             ,0.543               ,-0.4021             ,       0
-0.9646                ,3.3476                 ,6.4762                 ,-0.6282          ,3.7289           ,9.0483           ,1.5731                       ,0.4835                       ,-3.5993                      ,-1.1011             ,0.543               ,-0.4021             ,       0
-0.9646                ,3.3476                 ,6.4762                 ,-0.6282          ,3.7289           ,9.0483           ,1.5731                       ,0.4835                       ,-3.5993                      ,-1.1011             ,0.543               ,-0.4021             ,       0
-0.9646                ,3.3476                 ,6.4762                 ,-0.6282          ,3.7289           ,9.0483           ,1.5731                       ,0.4835                       ,-3.5993                      ,-1.1011             ,0.543               ,-0.4021             ,       0
0.1666                 ,3.0879                 ,14.3803                ,-0.2622          ,1.9772           ,9.6017           ,-0.5771                      ,1.4028                       ,4.8445                       ,-1.0287             ,0.2572              ,-0.0105             ,       0
1.9848                 ,1.4623                 ,11.9982                ,0.0169           ,3.4773           ,9.1694           ,1.9663                       ,-1.5879                      ,1.873                        ,0.6095              ,0.1332              ,-0.6115             ,       0
-0.894                 ,5.8232                 ,9.7083                 ,-0.348           ,5.4578           ,8.1401           ,-0.0548                      ,0.2414                       ,-0.1297                      ,0.8149              ,0.0831              ,-2.00E-04           ,       0
-0.3948                ,6.253                  ,7.9678                 ,-0.3409          ,5.4374           ,8.1541           ,-1.0213                      ,0.2212                       ,0.9766                       ,0.1935              ,-0.0928             ,0.1226              ,       0
0.2109                 ,4.5377                 ,12.0018                ,0.5789           ,3.6982           ,9.0641           ,-1.0109                      ,0.859                        ,-0.4381                      ,0.0576              ,-0.2069             ,-0.0224             ,       0
10.8419                ,-4.3983                ,3.2408                 ,6.5336           ,-7.313           ,-0.0445          ,5.2428                       ,1.7559                       ,1.3121                       ,0.0666              ,-2.2513             ,2.4588              ,       0
